Date,Actual,Predicted
2013-04-26,[25.61359978],25.764789791107177
2013-04-29,[25.98023224],25.7922265625
2013-04-30,[26.26161194],25.741324138641357
2013-05-01,[26.03139305],25.69536828994751
2013-05-02,[26.36392593],26.003426685333253
2013-05-03,[26.61118889],26.183507022857665
2013-05-06,[26.73909378],26.32444694519043
2013-05-07,[26.72204208],26.488413200378417
2013-05-08,[26.93519783],26.63293716430664
2013-05-09,[26.85846329],26.63711462020874
2013-05-10,[26.93519783],26.452773609161376
2013-05-13,[26.86699295],26.696800498962403
2013-05-14,[26.95225334],26.857780113220215
2013-05-15,[27.03752708],26.90314100265503
2013-05-16,[27.18247032],26.967690773010254
2013-05-17,[27.45532608],27.055255794525145
2013-05-20,[27.45532608],27.21538793563843
2013-05-21,[27.37005424],27.305512771606445
2013-05-22,[27.07163048],27.273024559020996
2013-05-23,[27.06310654],27.154251823425295
2013-05-24,[27.02046585],27.03982805252075
2013-05-28,[27.14836311],27.07316291809082
2013-05-29,[27.08015251],26.810971298217773
2013-05-30,[27.25068092],27.138986015319823
2013-05-31,[26.99489021],26.853775177001953
2013-06-03,[27.13131905],27.16234790802002
2013-06-04,[27.01194572],27.0053772354126
2013-06-05,[26.74762154],27.035818614959716
2013-06-06,[26.8073082],26.883704910278322
2013-06-07,[27.05456734],26.94185573577881
2013-06-10,[27.11426735],26.943984451293947
2013-06-11,[26.83288765],26.97741186141968
2013-06-12,[26.65382767],26.90220869064331
2013-06-13,[26.96077919],27.04272327423096
2013-06-14,[26.75614929],26.832715301513673
2013-06-17,[27.00341988],26.926760864257812
2013-06-18,[27.21657944],27.065231552124022
2013-06-19,[26.90109444],26.829134731292726
2013-06-20,[26.30424309],26.773455638885498
2013-06-21,[26.14570808],26.509219856262206
2013-06-24,[25.82863045],26.269644222259522
2013-06-25,[26.04286575],26.215307083129883
2013-06-26,[26.19712639],26.18585796356201
2013-06-27,[26.32566833],26.373887996673584
2013-06-28,[26.21426201],26.285215072631836
2013-07-01,[26.35137939],26.270945529937745
2013-07-02,[26.39422417],26.427774925231933
2013-07-03,[26.54847336],26.608975582122802
2013-07-05,[26.71987152],26.458764877319336
2013-07-08,[26.70272636],26.40728298187256
2013-07-09,[26.80556107],26.65099937438965
2013-07-10,[26.89125061],26.770562858581542
2013-07-11,[27.34544563],26.53031536102295
2013-07-12,[27.36258316],26.535483169555665
2013-07-15,[27.43971252],26.875141162872314
2013-07-16,[27.45684433],27.297631549835206
2013-07-17,[27.48255539],27.34826187133789
2013-07-18,[27.41400146],27.256593437194823
2013-07-19,[26.95124626],27.349410343170167
2013-07-22,[27.02837563],27.09390405654907
2013-07-23,[26.91695976],26.96423219680786
2013-07-24,[27.09693146],27.018707885742188
2013-07-25,[27.11405754],27.038649559020996
2013-07-26,[27.19119072],27.07959529876709
2013-07-29,[27.14834404],27.148812046051024
2013-07-30,[27.28546143],27.143733978271484
2013-07-31,[27.19119072],26.870588092803956
2013-08-01,[27.48255539],27.22197172164917
2013-08-02,[27.60253143],27.250494289398194
2013-08-05,[27.66251373],27.384864139556885
2013-08-06,[27.51683807],27.23660919189453
2013-08-07,[27.44827652],27.450336856842043
2013-08-08,[27.53397179],27.246808280944823
2013-08-09,[27.39685822],27.176706943511963
2013-08-12,[27.57682419],27.42393892288208
2013-08-13,[27.76535416],27.527633266448973
2013-08-14,[27.73963356],27.555997619628908
2013-08-15,[27.29402924],27.47629831314087
2013-08-16,[27.26831818],27.48564052581787
2013-08-19,[27.18262482],27.198732376098633
2013-08-20,[27.2254734],27.201047019958494
2013-08-21,[27.16548347],27.19342134475708
2013-08-22,[27.28546143],27.43311016082764
2013-08-23,[27.48255539],27.44065288543701
2013-08-26,[27.35401154],27.40234634399414
2013-08-27,[26.8741188],27.14868646621704
2013-08-28,[26.89125061],27.19359058380127
2013-08-29,[27.0369339],27.221614265441893
2013-08-30,[26.90839195],26.951498222351074
2013-09-03,[26.93410683],26.959210796356203
2013-09-04,[27.19119072],27.449820823669434
2013-09-05,[27.20832634],27.311250305175783
2013-09-06,[27.2254734],27.22298210144043
2013-09-09,[27.55111504],27.451705646514892
2013-09-10,[27.72250366],27.515550003051757
2013-09-11,[27.59396362],27.56208101272583
2013-09-12,[27.61966896],27.596789360046387
2013-09-13,[27.64537239],27.578449726104736
2013-09-16,[27.60253143],27.5565962600708
2013-09-17,[27.73963356],27.6476060295105
2013-09-18,[28.09099197],27.721043548583985
2013-09-19,[28.1081295],27.94496551513672
2013-09-20,[27.90835953],27.944022006988526
2013-09-23,[27.99445915],27.949135608673096
2013-09-24,[27.87390709],27.904229164123535
2013-09-25,[27.83086205],27.89488800048828
2013-09-26,[27.93419456],27.88519432067871
2013-09-27,[27.76197243],27.838944206237795
2013-09-30,[27.58974648],27.519748458862306
2013-10-01,[27.83086205],27.731537322998047
2013-10-02,[27.839468],27.761460800170898
2013-10-03,[27.59836006],27.6771177482605
2013-10-04,[27.71030235],27.715593967437744
2013-10-07,[27.58974648],27.625374584198
2013-10-08,[27.15058136],27.56773759841919
2013-10-09,[27.25391579],27.36627330780029
2013-10-10,[27.71030235],27.425777759552002
2013-10-11,[27.94280434],27.64501703262329
2013-10-14,[28.03753471],27.835874195098878
2013-10-15,[27.86530495],27.894660625457764
